"","Date","Region","Thermal.Generation.Actual..in.MU.","Hydro.Generation.Actual..in.MU."
"329",2017-11-06,"Eastern",451.11,36.75
"330",2017-11-06,"NorthEastern",29.11,12.92
"331",2017-11-07,"Northern",596.89,117.5
"332",2017-11-07,"Western",1099.82,45.87
"333",2017-11-07,"Southern",599.07,72.56
"334",2017-11-07,"Eastern",454.86,36.75
"335",2017-11-07,"NorthEastern",29.11,12.92
"336",2017-11-08,"Northern",596.89,117.5
"337",2017-11-08,"Western",1099.82,45.87
"338",2017-11-08,"Southern",608.86,72.56
"339",2017-11-08,"Eastern",454.86,36.75
"340",2017-11-08,"NorthEastern",29.11,12.92
"341",2017-11-09,"Northern",599.39,117.5
"342",2017-11-09,"Western",1099.82,45.87
"343",2017-11-09,"Southern",608.86,72.56
"344",2017-11-09,"Eastern",454.86,36.75
"345",2017-11-09,"NorthEastern",29.11,12.92
"346",2017-11-10,"Northern",596.06,117.5
"347",2017-11-10,"Western",1099.82,45.87
"348",2017-11-10,"Southern",607.08,72.56
"349",2017-11-10,"Eastern",454.86,36.75
"350",2017-11-10,"NorthEastern",29.11,12.92
"351",2017-11-11,"Northern",596.06,117.5
"352",2017-11-11,"Western",1099.82,45.87
"353",2017-11-11,"Southern",607.08,72.56
"354",2017-11-11,"Eastern",454.86,36.75
"355",2017-11-11,"NorthEastern",29.11,12.92
"356",2017-11-12,"Northern",593.56,117.5
"357",2017-11-12,"Western",1099.82,45.87
"358",2017-11-12,"Southern",607.08,72.56
"359",2017-11-12,"Eastern",454.86,36.75
"360",2017-11-12,"NorthEastern",29.11,12.92
"361",2017-11-13,"Northern",582.56,117.5
"362",2017-11-13,"Western",1099.82,45.87
"363",2017-11-13,"Southern",607.08,72.56
"364",2017-11-13,"Eastern",454.86,36.75
"365",2017-11-13,"NorthEastern",29.11,12.92
"366",2017-11-14,"Northern",579.64,117.5
"367",2017-11-14,"Western",1099.82,45.87
"368",2017-11-14,"Southern",611.55,72.56
"369",2017-11-14,"Eastern",454.86,36.75
"370",2017-11-14,"NorthEastern",29.11,12.92
"371",2017-11-15,"Northern",568,117.5
"372",2017-11-15,"Western",1098.68,45.87
"373",2017-11-15,"Southern",611.55,72.56
"374",2017-11-15,"Eastern",475.92,36.75
"375",2017-11-15,"NorthEastern",29.11,12.92
"376",2017-11-16,"Northern",574.07,117.5
"377",2017-11-16,"Western",1098.68,45.87
"378",2017-11-16,"Southern",609.54,72.56
"379",2017-11-16,"Eastern",479.32,36.75
"380",2017-11-16,"NorthEastern",29.11,12.92
"381",2017-11-17,"Northern",574.07,117.5
"382",2017-11-17,"Western",1093.3,45.87
"383",2017-11-17,"Southern",609.54,72.56
"384",2017-11-17,"Eastern",479.32,36.75
"385",2017-11-17,"NorthEastern",29.11,12.92
